no,course_code,final,homework,midterm,speech_and_discussion,student_id,weekly_study_hours_by_course,part_time_hours_by_course,financial_support_by_course,emotional_support_by_course
22,CHE 101,8.7,8.8,8.3,10,29217354066,0.709240791,1.169813319,0.218617549,0.582438006
23,CHE 101,4.3,6.8,7,9,28204906835,0.938216973,0.963047469,0.851574786,0.39381066
24,CHE 101,7.5,9,7,8,29207362946,1.049542765,0.126209947,0.42548382,0.320147873
25,CHE 101,3.4,9.2,9,10,28217749263,1.184104976,0.242443071,0.294531862,0.828596079
26,CHE 101,8.3,10,10,10,29207345787,1.677763942,1.347831283,0.757389732,0.734216686
27,CHE 101,7.3,6.4,4,10,27211253219,0.799510673,0.909643589,0.703154277,0.792855838
28,CHE 101,6.5,9,9,10,29217300016,1.271351658,0.013795577,0.901977611,0.449074913
29,CHE 101,0,7.2,3,6,25211209102,1.388621853,0.152207314,0.788056835,0.395460033
30,CHE 101,8.1,10,10,10,29212357402,0.569675619,0.995252654,0.842784744,0.310181266
31,CHE 101,3,8.4,5,9,28212252208,1.411317278,0.007592376,0.425627658,0.545411291
32,CHE 101,2.3,0,9.5,0,28211135197,0.755786186,0.241212077,0.341951635,0.712942381
33,CHE 101,1.3,8.8,4,10,28217751748,0.597577389,0.823100684,0.800491801,0.574570832
34,CHE 101,5.7,8,7.5,7,28211100087,1.923328306,1.037842797,0.845467791,0.606232445
35,CHE 101,4.7,7.6,3,9,28211106269,1.94844805,0.977941889,0.992404114,0.932911086
36,CHE 101,2.9,8.3,6,5,28211125973,1.712596022,0.336403964,0.530094142,0.543778827
37,CHE 101,4.7,6.8,6,8,27211242088,0.956920654,1.068268832,0.497614469,0.659792642
38,CHE 101,3.8,8.3,6,6,29211156571,0.646508171,0.355873631,0.821130369,0.848557109
39,CHE 101,6.2,9.6,10,10,28207701774,1.52634954,0.488099547,0.472642832,0.577579948
40,CHE 101,3.9,9.3,5.8,5,29219052548,1.160228741,1.119737108,0.94460586,0.73546069
41,CHE 101,3.2,0,3,6,27211349184,0.683057352,0.974449349,0.886730201,0.903654596
42,CHE 101,9.1,10,10,10,29217329807,1.242765365,1.273835116,0.543195222,0.964664437
43,CHE 101,0,0,0,0,26211228524,0.551582782,0.986419338,0.800696854,0.402951437
44,CHE 101,8.9,7.8,7.8,8,29207348880,1.863980603,0.852462905,0.803634299,0.948611338
45,CHE 101,4.7,8,3,10,26211233228,0.888169972,0.140512152,0.282499095,0.644481405
46,CHE 101,6.4,9,6.5,10,29207329898,1.493783427,0.551573705,0.922042325,0.480771072
47,CHE 101,4.6,6.8,5,7,27211201151,0.967566614,0.397803552,0.604201898,0.621395029
48,CHE 101,0,0,0,0,28212106498,1.280102032,0.365984465,0.861165973,0.986022803
49,CHE 101,3.5,0,6,8,28211251331,1.320065419,1.459515832,0.456039681,0.644832666
50,CHE 101,6,9,9.3,10,29212365458,0.777281683,0.589646587,0.916418583,0.530126127
51,CHE 101,0,0,0,7,27218124977,1.954376942,1.338069833,0.511361343,0.743380598
52,CHE 101,5.9,10,10,10,29207329489,1.662699235,0.946707939,0.208670121,0.468101933
53,CHE 101,3.7,6.8,5,9,27211200986,1.909248412,1.192216955,0.924305581,0.35310433
54,CHE 101,4.1,0,4.5,4,29217352519,1.842241026,0.75395564,0.273029341,0.390215805
55,CHE 101,5.8,7.6,4.5,9,28204600516,1.396849968,0.865355827,0.45545091,0.389632087
56,CHE 101,10,10,10,10,29217338399,1.882811353,0.738776541,0.960049574,0.406331885
57,CHE 101,6.8,8.4,7,10,28212249750,0.632738753,0.292864482,0.960485718,0.397179021
58,CHE 101,6.3,10,10,10,29217365330,0.793974294,1.083678173,0.65875031,0.748612321
59,CHE 101,1.8,7.2,4.5,6,28212206383,0.567840933,0.421158544,0.70546977,0.427316059
60,CHE 101,7.3,8.8,9.3,10,29207334278,0.987995496,0.03647395,0.558756418,0.541967098
61,CHE 101,1.6,6.8,2.5,10,27211231872,1.083015935,0.968208444,0.434568617,0.927751887
62,CHE 101,6.8,9.8,9.3,9,29207365594,0.907023548,0.265666019,0.462931636,0.631773148
63,CHE 101,4.1,8,6,7,28211349105,1.743106264,1.410687877,0.738014765,0.767290417
64,CHE 101,6.5,8.8,8.5,8,28201104777,1.03512999,1.430892866,0.801899624,0.42062391
65,CHE 101,6.9,10,10,10,28217704019,0.921401765,1.372296585,0.833263235,0.434602313
66,CHE 101,6.3,8.8,8,10,29207348008,1.314044125,0.55523805,0.831694514,0.328608031
67,CHE 101,6.4,8,8.5,9,28212253613,0.711386337,0.023184925,0.272964882,0.418254544
68,CHE 101,8,10,10,10,29212465051,1.703295471,1.392477844,0.595536244,0.495013237
69,CHE 101,2.1,7.2,4,10,25211204240,0.611825966,0.642276222,0.246047008,0.423907339
70,CHE 101,4.1,5.2,7,10,29201161901,1.980330405,1.449982229,0.639623106,0.362091774
71,CHE 101,0,0,0,6,27218101153,1.658367154,1.445429966,0.553224401,0.38444511
72,CHE 101,4.4,5.4,5.3,10,29207453970,0.798073522,1.279514183,0.910163346,0.622545138
73,CHE 101,0,0,0,7,27211248314,0.508283176,0.441673338,0.48073201,0.444433603
74,CHE 101,6.5,7.8,8,9,28211152532,1.723192143,0.577646593,0.293653613,0.554988903
75,CHE 101,4.8,8.4,4,8,28212224635,1.560286016,1.276705007,0.314393346,0.65239209
76,CHE 101,8.7,10,10,10,29209053824,1.593510752,0.475383008,0.809208505,0.78327638
77,CHE 101,1.5,0,3.5,10,27211302191,1.65690552,0.25423912,0.694574451,0.327518498
78,CHE 101,5.4,8.5,9.3,7,29212351298,0.611066978,0.835201894,0.280898141,0.859587279
79,CHE 101,0,0,0,0,28212253614,1.037698593,1.404232161,0.267285445,0.739530273
80,CHE 101,9.2,10,10,10,29217357930,0.673803589,1.044044695,0.760775305,0.357231322
81,CHE 101,8,10,10,10,28212251023,1.794655139,0.855091755,0.258210405,0.911505037
82,CHE 101,9.8,10,10,10,29211160680,1.43494719,0.145764741,0.857488047,0.94461068
83,CHE 101,3.6,6,7.5,9,27212702631,0.996347037,0.92251084,0.764993782,0.342754572
84,CHE 101,5.3,9,6,8,29219422077,0.595337525,1.485080775,0.265079025,0.493814354
85,CHE 101,5.9,6.8,3,7,25211801812,0.966473483,0.210126023,0.267870171,0.864340896
86,CHE 101,7.7,8.3,7.8,8,29217338353,0.987774983,0.777494479,0.989311663,0.823781783
87,CHE 101,2.8,6.4,4,8,28212402102,1.594409268,1.316059608,0.499416637,0.429164714
88,CHE 101,6.6,7.8,7.8,8,29212445146,1.456336207,1.111152927,0.496513718,0.446544526
89,CHE 101,3.5,8.4,6.5,9,28212304608,1.830819114,1.045523611,0.850239654,0.559330472
90,CHE 101,2.9,7,6.5,6,28212350259,1.208322388,1.053726126,0.957798862,0.63916609
91,CHE 101,0,4.8,0,10,27211148679,0.679391369,0.539236727,0.988800851,0.73277834
92,CHE 101,4.8,9,6,9,29217357338,1.569867181,0.440387766,0.802702548,0.558239548
93,CHE 101,6.6,10,10,10,28217702814,1.641177573,1.214041733,0.501007668,0.623774301
94,CHE 101,6.6,10,10,10,29217349115,1.341915796,1.215170092,0.266800573,0.823229657
95,CHE 101,1.4,6.4,0,10,27211237894,1.65645077,1.300608478,0.821717533,0.325678242
96,CHE 101,8.2,8,6.3,10,29207357385,1.240693395,1.369860829,0.6467234,0.476705861
97,CHE 101,6.6,8.8,8.2,10,28207704612,1.284099244,0.767013598,0.539377607,0.79934471
98,CHE 101,3.9,8.5,8.3,10,29217337520,1.141311528,0.752274442,0.925083508,0.926644786
99,CHE 101,5.3,8.4,5.6,10,28212252266,0.53812869,1.197442768,0.288957986,0.658174209
100,CHE 101,2.1,9,8,10,29212338300,0.66183714,0.974945896,0.594100083,0.67247944
101,CHE 101,0,0,0,8,27211244244,0.547143779,1.052950316,0.209082916,0.375020408
102,CHE 101,8.6,9.3,8.3,9,29207334460,1.454615617,1.193689004,0.574928514,0.613188657
103,CHE 101,1.2,6.4,4.5,8,27211238943,0.971533972,1.335008013,0.245042621,0.672832087
104,CHE 101,3.4,9,5.5,8,28211105084,1.262856037,0.506992735,0.295054333,0.469729353
105,CHE 101,0,6.8,4.5,8,25211604521,1.861349711,0.563374429,0.294020997,0.488470262
106,CHE 101,9.2,9,10,10,29207356292,0.873938344,0.14097291,0.719368242,0.564098914
107,CHE 101,6.3,7.2,6,10,27211226914,1.115574385,0.867420211,0.796835903,0.314049838
108,CHE 101,6.2,8,6.5,10,29207351081,1.633326708,0.053913411,0.666695012,0.525455416
109,CHE 101,6.9,9.6,6,9,28211100793,0.843197248,0.698397027,0.969738039,0.448013605
110,CHE 101,8.1,9.8,7,10,29207350098,0.615469865,0.813966952,0.499896464,0.529248147
111,CHE 101,0,0,0,7,27211201911,0.934627179,0.429811878,0.428569669,0.383833492
112,CHE 101,7.4,8.8,7.8,10,29207342164,0.741831931,0.886249891,0.894879303,0.923369097
113,CHE 101,0,6,3,8,27211201388,1.894546479,0.045750375,0.378876671,0.715514717
114,CHE 101,6.8,9,7.8,10,28201105193,1.712180569,0.056022283,0.970578032,0.775371623
115,CHE 101,2.9,9.6,7,9,27217137523,1.450105635,1.233900841,0.20972358,0.852419867
116,CHE 101,8.6,7.5,9,10,29207357361,1.807190885,0.540285962,0.975903061,0.648909539
117,CHE 101,5.1,6.4,5,8,28212201361,1.705508115,0.190590769,0.23452793,0.360844202
118,CHE 101,7.7,8,4.8,7,29207356379,0.779855088,0.78336489,0.912914491,0.675974579
119,CHE 101,0,0,0,0,28212302114,1.838838498,1.15499033,0.622160887,0.710788783
120,CHE 101,2.5,9,5,6,29212357110,1.309013363,0.323731541,0.994371837,0.821807632
121,CHE 101,0,0,0,0,28212603062,1.711160233,0.934335714,0.259037252,0.602161682
122,CHE 101,4.9,8,7.8,9,29207338024,1.84413695,0.128021197,0.643083428,0.389306212
123,CHE 101,1.2,7.2,4,9,28211131503,0.977005212,0.077522582,0.975442028,0.498643134
124,CHE 101,7.8,10,10,10,29217356539,0.665077887,0.797031947,0.618478275,0.554157607
125,CHE 101,0,0,0,0,27211201086,0.841902744,0.810952682,0.703518911,0.752142069
126,CHE 101,6.1,8.5,9.5,10,28218004271,1.140661683,0.956144852,0.756598951,0.699544813
127,CHE 101,8.6,7.4,8.5,9,28212205604,1.727022149,1.089137001,0.563632852,0.549267708
128,CHE 101,3.5,8.3,8.5,9,29212347472,1.791095875,1.463778119,0.702046464,0.990560674
129,CHE 101,0,0,4,9,27211202108,0.510428196,0.774450522,0.66745145,0.724042374
130,CHE 101,6.9,8.8,8.5,10,29212339589,1.266120954,0.484434709,0.920926408,0.466058754
131,CHE 101,6.1,10,8,10,28217706788,1.126116505,1.192779292,0.236357104,0.371247731
132,CHE 101,5.8,5.5,5.8,4,28211151907,0.833161716,0.406248377,0.424770552,0.407001397
133,CHE 101,0,0,0,7,27212137522,0.679798051,0.658457131,0.960329187,0.47217041
134,CHE 101,7.6,10,10,10,29201158796,1.006422757,0.117684572,0.912211027,0.412476961
135,CHE 101,5.1,10,10,10,28207700427,1.914364556,0.038026115,0.564525402,0.430596917
136,CHE 101,7.4,9,8.8,10,29217338646,0.984804398,1.443972622,0.696106078,0.499566618
137,CHE 101,0,0,7,8,27211248495,1.278185933,1.253970181,0.421904946,0.421361517
138,CHE 101,4.2,8.5,5.3,8,29212348363,1.554528438,1.043961309,0.350496928,0.927735797
139,CHE 101,1.5,5.6,2,9,27211248450,1.045444404,0.613429417,0.570958724,0.356163622
140,CHE 101,6.5,9.8,7.8,7,29212339254,1.957673124,0.25994148,0.482681782,0.667157973
141,CHE 101,2.5,8.4,5,9,28212551493,1.943670942,0.234655564,0.666924889,0.587277779
142,CHE 101,7.4,10,10,10,28201100721,0.877673444,0.375364347,0.26218771,0.987665032
143,CHE 101,5.7,7.6,8.5,10,26214134345,1.245872759,0.823839997,0.979515846,0.378427232
144,CHE 101,8,9.3,6.5,10,29219048565,0.951317465,1.071893884,0.988968596,0.578498919
145,CHE 101,6.8,10,10,10,27211202660,0.927260742,0.990296065,0.758529371,0.978629303
146,CHE 101,6.8,9.8,7.8,9,29207354582,0.555330421,0.419900845,0.628877093,0.905854988
147,CHE 101,1.9,6.4,5,9,28211149100,1.414346501,1.432297921,0.447622093,0.87195045
148,CHE 101,6.9,7.4,6.3,8,29211162920,1.254018535,1.106845375,0.851036016,0.480531979
149,CHE 101,2.2,4.8,4,8,28212251427,0.577218127,0.831531079,0.747784938,0.419621311
150,CHE 101,3.6,8.4,2.5,9,28211105328,0.917969696,0.917581119,0.330093551,0.768050254
151,CHE 101,6.3,9,9,10,28212253672,1.862398829,0.629400094,0.928741748,0.950563192
152,CHE 101,0,0,0,7,2021433709,0.859342836,0.371596484,0.858029794,0.689734025
153,CHE 101,6.3,7.6,6.5,8,23211611284,0.717342308,0.533959018,0.959839931,0.700128883
154,CHE 101,1.4,4.4,4,8,28212252730,1.23417914,1.136769166,0.780575607,0.495985366
155,CHE 101,6.9,7.6,6,9,28211124566,1.978475681,0.021590233,0.690732157,0.838645053
156,CHE 101,4.6,7.8,4.8,7,29217357362,0.863082907,0.174108961,0.534594429,0.430930624
157,CHE 101,2.6,7.6,6,10,27201240422,1.508203321,0.069003963,0.946182787,0.526575465
158,CHE 101,0,0,0,0,28212754575,1.642429423,0.061093203,0.892851112,0.597805507
159,CHE 101,0,0,0,0,24201215100,0.856456316,1.283190876,0.236174936,0.655327265
160,CHE 101,0,0,3,8,26211234957,1.592324523,1.055486789,0.22109358,0.469686813
161,CHE 101,2.4,0,3,9,27211201665,1.051674699,0.711260744,0.501170694,0.380385777
162,CHE 101,1.4,6.8,0,7,25216803034,1.448458746,0.146751241,0.848442665,0.72743403
163,CHE 101,0,6,0,5,28212105115,1.450294566,0.737423813,0.989820903,0.502041387
164,CHE 101,6.3,6,4,10,28211153338,1.303662026,0.710207656,0.320333513,0.706866755
165,CHE 101,8.3,10,10,10,28207130716,0.635434655,0.259802805,0.675304572,0.408053901
166,CHE 101,6.3,6.4,8.8,9,2320124146,1.752953743,0.650777474,0.504712685,0.636798071
167,CHE 101,5.2,7.2,2.5,9,28216542875,0.981170097,0.597757102,0.975931518,0.672812603
168,CHE 101,3.7,7.8,7.8,9,29207364890,0.779777766,0.923775147,0.873695139,0.336276476
169,CHE 101,2.9,0,3,8,27211233739,0.561162712,0.952640476,0.870662964,0.535622995
170,CHE 101,1.9,6.4,3,6,28212241300,1.386339415,0.067956015,0.574954528,0.394090274
171,CHE 101,3.9,8,6.8,8,28211154718,1.516346543,0.561918922,0.531855602,0.344362479
172,CHE 101,0,0,8.6,9,26211232102,0.524881743,0.938789874,0.418725658,0.992972163
173,CHE 101,7.1,10,10,10,27211235381,1.268139587,0.754704388,0.245100397,0.525647691
174,CHE 101,3.2,9.2,8,10,27211237569,0.839743663,1.284734762,0.891777901,0.866912112
175,CHE 101,4.9,8.4,8.1,9,28212200122,1.467759186,0.988040447,0.850320807,0.478248458
176,CHE 101,2.4,6.4,4,8,28215139881,0.761549644,0.244401641,0.999774139,0.777051906
177,CHE 101,0,0,0,0,27211202067,1.536406607,0.105853121,0.99730947,0.832159502
178,CHE 101,2.3,7.2,5,8,28217102275,1.080103019,0.963628917,0.644345364,0.716947118
